Date,Open,High,Low,Close,Adj Close
10/28/2015,907.5,927.5,862.5,900,900
10/29/2015,945,990,830,852.5,852.5
10/30/2015,817.5,945,812.5,932.5,932.5
11/2/2015,842.5,875,830,850,850
11/3/2015,835,887.5,830,867.5,867.5
11/4/2015,897.5,917.5,850,870,870
11/5/2015,907.5,995,900,982.5,982.5
11/6/2015,927.5,1012.5,915,952.5,952.5
11/9/2015,910,915,860,900,900
11/10/2015,945,960,912.5,925,925
11/11/2015,922.5,932.5,857.5,882.5,882.5
11/12/2015,862.5,892.5,847.5,887.5,887.5
11/13/2015,907.5,965,887.5,962.5,962.5
11/16/2015,947.5,1005,935,950,950
11/17/2015,900,980,890,955,955
11/18/2015,947.5,957.5,897.5,907.5,907.5
11/19/2015,887.5,932.5,810,810,810
11/20/2015,757.5,765,700,705,705
11/23/2015,717.5,755,700,730,730
11/24/2015,677.5,742.5,675,720,720
11/25/2015,700,750,685,705,705
11/27/2015,647.5,657.5,622.5,645,645
11/30/2015,632.5,660,630,637.5,637.5
12/1/2015,650,665,610,640,640
12/2/2015,615,617.5,572.5,587.5,587.5
12/3/2015,562.5,612.5,560,602.5,602.5
12/4/2015,600,610,587.5,597.5,597.5
12/7/2015,552.5,555,497.5,505,505
12/8/2015,492.5,515,477.5,510,510
12/9/2015,517.5,530,487.5,500,500
12/10/2015,482.5,522.5,460,460,460
12/11/2015,442.5,460,432.5,437.5,437.5
12/14/2015,387.5,395,370,392.5,392.5
12/15/2015,367.5,370,335,337.5,337.5
12/16/2015,350,367.5,322.5,355,355
12/17/2015,352.5,367.5,332.5,335,335
12/18/2015,352.5,352.5,330,337.5,337.5
12/21/2015,365,415,360,407.5,407.5
12/22/2015,375,402.5,370,387.5,387.5
12/23/2015,382.5,445,367.5,430,430
12/24/2015,457.5,462.5,427.5,447.5,447.5
12/28/2015,512.5,582.5,507.5,575,575
12/29/2015,655,670,607.5,617.5,617.5
12/30/2015,562.5,567.5,507.5,560,560
12/31/2015,607.5,645,592.5,610,610
1/4/2016,630,645,572.5,585,585
1/5/2016,555,620,552.5,607.5,607.5
1/6/2016,610,635,542.5,570,570
1/7/2016,582.5,680,582.5,650,650
1/8/2016,665,740,655,725,725
1/11/2016,665,667.5,627.5,637.5,637.5
1/12/2016,580,590,532.5,545,545
1/13/2016,550,587.5,545,562.5,562.5
1/14/2016,522.5,535,465,472.5,472.5
1/15/2016,462.5,462.5,430,445,445
1/19/2016,462.5,467.5,422.5,427.5,427.5
1/20/2016,437.5,452.5,412.5,445,445
1/21/2016,452.5,480,417.5,460,460
1/22/2016,447.5,467.5,437.5,460,460
1/25/2016,425,467.5,412.5,447.5,447.5
1/26/2016,462.5,475,432.5,457.5,457.5
1/27/2016,467.5,492.5,445,455,455
1/28/2016,425,502.5,422.5,502.5,502.5
1/29/2016,537.5,562.5,527.5,557.5,557.5
2/1/2016,452.5,457.5,430,445,445
2/2/2016,357.5,377.5,337.5,375,375
2/3/2016,365,390,347.5,380,380
2/4/2016,347.5,367.5,327.5,345,345
2/5/2016,367.5,390,365,377.5,377.5
2/8/2016,430,440,405,415,415
2/9/2016,405,420,392.5,395,395
2/10/2016,377.5,382.5,357.5,375,375
2/11/2016,380,385,340,347.5,347.5
2/12/2016,342.5,342.5,325,335,335
2/16/2016,305,310,292.5,310,310
2/17/2016,302.5,330,297.5,325,325
2/18/2016,295,310,282.5,285,285
2/19/2016,275,275,252.5,252.5,252.5
2/22/2016,252.5,265,250,252.5,252.5
2/23/2016,252.5,252.5,235,240,240
2/24/2016,240,252.5,237.5,242.5,242.5
2/25/2016,230,230,207.5,220,220
2/26/2016,220,227.5,202.5,225,225
2/29/2016,192.5,205,190,190,190
3/1/2016,195,215,185,205,205
3/2/2016,185,197.5,180,180,180
3/3/2016,170,187.5,167.5,167.5,167.5
3/4/2016,172.5,180,167.5,180,180
3/7/2016,177.5,202.5,175,195,195
3/8/2016,192.5,197.5,182.5,195,195
3/9/2016,200,215,195,207.5,207.5
3/10/2016,220,225,200,225,225
3/11/2016,232.5,240,222.5,227.5,227.5
3/14/2016,225.399994,241.300003,221.100006,228.899994,228.899994
3/15/2016,228.899994,228.899994,228.899994,228.899994,228.899994
3/16/2016,229.300003,247,226.600006,242.399994,242.399994
3/17/2016,250.100006,270.100006,229.899994,264.399994,264.399994
3/18/2016,267.100006,269.5,247.100006,250.100006,250.100006
3/21/2016,246.699997,248.899994,216.699997,220.699997,220.699997
3/22/2016,229.100006,237,216.300003,235,235
3/23/2016,240.699997,244.300003,204.800003,206.300003,206.300003
3/24/2016,206,220.899994,205.399994,215.800003,215.800003
3/28/2016,213.199997,234.800003,209.5,231.600006,231.600006
3/29/2016,227.800003,252.300003,225,249.199997,249.199997
3/30/2016,254.699997,260.5,242.199997,253,253
3/31/2016,262.100006,266.200012,229.600006,243.100006,243.100006
4/1/2016,238.199997,241.600006,228.199997,237.800003,237.800003
4/4/2016,258.799988,282.700012,249,258.399994,258.399994
4/5/2016,249.5,250.199997,229.5,237.5,237.5
4/6/2016,224.100006,229.399994,218,218.800003,218.800003
4/7/2016,238.399994,261.299988,236.5,261,261
4/8/2016,258.200012,260.399994,247.199997,249.300003,249.300003
4/11/2016,222.199997,225.699997,219.300003,224.5,224.5
4/12/2016,236.300003,256.899994,232.699997,252.600006,252.600006
4/13/2016,254.600006,264.399994,247.899994,261.600006,261.600006
4/14/2016,242.5,257.100006,238.5,240.399994,240.399994
4/15/2016,220,228.199997,218.100006,221.399994,221.399994
4/18/2016,222.600006,235.699997,217.699997,232.5,232.5
4/19/2016,258.899994,285.899994,258.899994,281.600006,281.600006
4/20/2016,283.200012,299.899994,270.799988,283.299988,283.299988
4/21/2016,283.799988,297.5,279.700012,288.600006,288.600006
4/22/2016,296.399994,319.700012,287.600006,307.5,307.5
4/25/2016,288,288,270.600006,284.100006,284.100006
4/26/2016,268.600006,273.299988,262.399994,271.5,271.5
4/27/2016,260.799988,272.5,252,266.299988,266.299988
4/28/2016,243.300003,250.399994,235.600006,236.5,236.5
4/29/2016,246.699997,280.100006,240.300003,260.700012,260.700012
5/2/2016,249.5,252,218.399994,224.5,224.5
5/3/2016,232.899994,242.800003,229.399994,237,237
5/4/2016,257.799988,259.600006,250,257,257
5/5/2016,248.300003,252.5,230.399994,236.899994,236.899994
5/6/2016,228.899994,244.199997,228.100006,239.300003,239.300003
5/9/2016,244.5,247.199997,235.199997,240.899994,240.899994
5/10/2016,256,262.399994,252.5,261.299988,261.299988
5/11/2016,249.600006,266.299988,244.800003,262,262
5/12/2016,262.200012,268,250,261.5,261.5
5/13/2016,245,262.100006,242.600006,244.100006,244.100006
5/16/2016,223.100006,230,220.100006,222.800003,222.800003
5/17/2016,232.899994,233,222,228,228
5/18/2016,212.5,216.399994,206.600006,210.399994,210.399994
